timestamp_ns,delivery_count
1770254100000000000,2
1770255000000000000,2
1770255900000000000,2
1770256800000000000,2
1770257700000000000,2
1770258600000000000,2
1770259500000000000,2
1770260400000000000,2
1770261300000000000,2
1770262200000000000,2
1770263100000000000,2
1770264000000000000,2
1770264900000000000,2
1770265800000000000,2
1770266700000000000,2
1770267600000000000,2
1770268500000000000,2
1770269400000000000,2
1770270300000000000,2
1770271200000000000,2
1770272100000000000,2
1770273000000000000,2
1770273900000000000,2
1770274800000000000,2
1770275700000000000,2
1770276600000000000,2
1770277500000000000,2
1770278400000000000,2
1770279300000000000,2
1770280200000000000,2
1770281100000000000,2
1770282000000000000,2
1770282900000000000,2
1770283800000000000,2
1770284700000000000,2
1770285600000000000,2
1770286500000000000,2
1770287400000000000,2
1770288300000000000,2
1770289200000000000,2
1770290100000000000,2
1770291000000000000,2
1770291900000000000,2
1770292800000000000,2
1770293700000000000,2
1770294600000000000,2
1770295500000000000,2
1770296400000000000,2
1770297300000000000,2
1770298200000000000,2
1770299100000000000,2
1770300000000000000,2
1770300900000000000,2
1770301800000000000,2
1770302700000000000,2
1770303600000000000,2
1770304500000000000,2
1770305400000000000,2
1770306300000000000,2
1770307200000000000,2
1770308100000000000,2
1770309000000000000,2
1770309900000000000,2
1770310800000000000,2
1770311700000000000,2
1770312600000000000,2
1770313500000000000,2
1770314400000000000,2
1770315300000000000,2
1770316200000000000,2
1770317100000000000,2
1770318000000000000,2
1770318900000000000,2
1770319800000000000,2
1770320700000000000,2
1770321600000000000,2
1770322500000000000,2
1770323400000000000,2
1770324300000000000,2
1770325200000000000,2
1770326100000000000,2
1770327000000000000,2
1770327900000000000,2
1770329700000000000,4
1770330600000000000,4
1770331500000000000,4
1770332400000000000,4
1770333300000000000,4
1770334200000000000,4
1770335100000000000,4
1770336000000000000,4
1770336900000000000,4
1770337800000000000,4
1770338700000000000,4
1770339600000000000,4
1770340500000000000,4
1770341400000000000,4
1770342300000000000,4
1770343200000000000,4
1770344100000000000,4
1770345000000000000,4
1770345900000000000,4
1770346800000000000,4
1770347700000000000,4
1770348600000000000,4
1770349500000000000,4
1770350400000000000,4
1770351300000000000,4
1770352200000000000,4
1770353100000000000,4
1770354000000000000,4
1770354900000000000,4
1770355800000000000,4
1770356700000000000,4
1770357600000000000,4
1770358500000000000,4
1770359400000000000,4
1770360300000000000,4
1770361200000000000,4
1770362100000000000,4
1770363000000000000,4
1770363900000000000,4
1770364800000000000,4
1770365700000000000,4
1770366600000000000,4
1770367500000000000,4
1770368400000000000,4
1770369300000000000,4
1770370200000000000,4
1770371100000000000,4
1770372000000000000,4
1770372900000000000,4
1770373800000000000,4
1770374700000000000,4
1770375600000000000,4
1770376500000000000,4
1770377400000000000,4
1770378300000000000,4
1770379200000000000,4
1770380100000000000,4
1770381000000000000,4
1770381900000000000,4
1770382800000000000,4
1770383700000000000,4
1770384600000000000,4
1770385500000000000,4
1770386400000000000,4
1770387300000000000,4
1770388200000000000,4
1770389100000000000,4
1770390000000000000,4
1770390900000000000,4
