timestamp,bar_close_time,signal_type,action,reason,fast_sma,slow_sma
2025-08-21 01:40:00+00:00,2025-08-21 01:45:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=4.85 <= +DI=20.38, bullish trend)",1.164628,1.1649168148148152
2025-08-21 01:45:00+00:00,2025-08-21 01:50:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=7.51 <= +DI=17.36, bullish trend)",1.164641,1.1649229629629634
2025-08-21 01:50:00+00:00,2025-08-21 01:55:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=9.34 <= +DI=15.25, bullish trend)",1.1646549999999998,1.1649287407407412
2025-08-21 01:55:00+00:00,2025-08-21 02:00:00+00:00,SELL,rejected,stochastic_unfavorable,1.164667,1.164934740740741
2025-08-21 02:00:00+00:00,2025-08-21 02:05:00+00:00,SELL,rejected,stochastic_unfavorable,1.164679,1.164940666666667
2025-08-21 02:05:00+00:00,2025-08-21 02:10:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=9.02 <= +DI=17.87, bullish trend)",1.1646889999999999,1.1649462222222227
2025-08-21 02:10:00+00:00,2025-08-21 02:15:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=10.62 <= +DI=12.52, bullish trend)",1.164719,1.1649513333333337
2025-08-21 02:15:00+00:00,2025-08-21 02:20:00+00:00,SELL,rejected,stochastic_unfavorable,1.164736,1.1649557407407412
2025-08-21 02:20:00+00:00,2025-08-21 02:25:00+00:00,SELL,rejected,stochastic_unfavorable,1.164747,1.164959333333334
2025-08-21 02:25:00+00:00,2025-08-21 02:30:00+00:00,SELL,rejected,stochastic_unfavorable,1.164724,1.164963370370371
2025-08-21 02:30:00+00:00,2025-08-21 02:35:00+00:00,SELL,rejected,stochastic_unfavorable,1.1647,1.1649678888888897
2025-08-21 02:35:00+00:00,2025-08-21 02:40:00+00:00,SELL,rejected,stochastic_unfavorable,1.164662,1.1649709629629634
2025-08-21 02:40:00+00:00,2025-08-21 02:45:00+00:00,SELL,rejected,stochastic_unfavorable,1.164634,1.1649757407407415
2025-08-21 02:45:00+00:00,2025-08-21 02:50:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=7.71 <= +DI=12.99, bullish trend)",1.1646359999999998,1.1649796296296302
2025-08-21 02:50:00+00:00,2025-08-21 02:55:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=8.72 <= +DI=9.40, bullish trend)",1.1646329999999998,1.1649839259259265
2025-08-21 02:55:00+00:00,2025-08-21 03:00:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=6.01 <= +DI=10.26, bullish trend)",1.164634,1.1649878148148156
2025-08-21 03:00:00+00:00,2025-08-21 03:05:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=4.14 <= +DI=10.52, bullish trend)",1.164627,1.1649918148148155
2025-08-21 03:05:00+00:00,2025-08-21 03:10:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=2.76 <= +DI=18.32, bullish trend)",1.1646490000000003,1.1649964074074077
